substrate,year,dfs_m_,depth_m_
Gravel,2019,70,3.2
Gravel,2019,80,3.2
Gravel,2019,60,3
Sand,2019,0.5,1
Muck,2019,80,0
Sand,2019,0.5,0.2
Sand,2019,5,1.1
Sand,2019,10,2.5
Muck,2019,20,3.5
Muck,2019,30,3.2
Muck,2019,40,2
Sand,2019,0.5,0.1
Sand,2019,5,0.5
Muck,2019,10,1
Muck,2019,20,2
Muck,2019,30,3
Muck,2019,40,3.5
Muck,2019,50,4.5
Muck,2019,60,5.6
Muck,2019,70,6
Gravel,2019,30,4
Gravel,2019,50,3.5
Sand,2019,0.5,0.5
Gravel,2019,20,2
Gravel,2019,40,3
Gravel,2019,60,3.5
Sand,2019,5,1.4
Sand,2019,10,1.8
Gravel,2019,80,3.8
Gravel,2019,70,3.4
Sand,2019,80,1.7
Sand,2019,70,2
Sand,2019,0.5,0.2
Sand,2019,60,2.5
Sand,2019,5,1
Sand,2019,50,2.8
Sand,2019,10,1.9
Sand,2019,40,2.2
Sand,2019,20,4.5
Sand,2019,30,2.4
Silt,2019,30,7
Sand,2019,20,1.7
Silt,2019,40,9
Sand,2019,10,1.5
Silt,2019,50,9.5
Sand,2019,5,1
Sand,2019,0.5,0.2
Silt,2019,60,9.5
Silt,2019,70,9.5
Silt,2019,80,9.6
Muck,2019,50,0.1
Muck,2019,40,0.9
Muck,2019,30,1.5
Muck,2019,20,1.6
Muck,2019,10,1
Sand,2019,5,8
Sand,2019,90,0.2
Muck,2020,80,3.5
Muck,2020,70,3.3
Muck,2020,60,2.8
Muck,2020,50,2.4
Muck,2020,40,1.9
Muck,2020,NA,1.8
Muck,2020,20,1.5
Muck,2020,20,1.6
Sand,2020,NA,2
Muck,2020,5,0.8
Sand,2020,60,2.8
Silt,2020,80,5.8
Sand,2020,50,2.3
Silt,2020,70,4.6
Muck,2020,0.5,0.1
Muck,2020,10,0.4
Muck,2020,10,1
Muck,2020,30,1.8
Muck,2020,10,1
Muck,2020,0.5,0.1
Muck,2020,80,1.8
Muck,2020,70,1.8
Muck,2020,60,1.8
Muck,2020,50,1.8
Silt,2020,70,5.2
Silt,2020,80,5.5
Sand,2020,0.5,0.1
Muck,2020,10,0.5
Muck,2020,20,0.6
Sand,2020,5,0.3
Muck,2020,30,1.5
Muck,2020,40,1.5
Sand,2020,0.5,0.1
Sand,2020,5,0.8
Sand,2020,10,1
Sand,2020,20,1.8
Sand,2020,30,1.8
Sand,2020,40,2.3
Sand,2020,50,3
Silt,2020,60,5
Sand,2020,0.5,0.1
Muck,2020,5,0.2
Muck,2020,30,2.5
Muck,2020,10,1.2
Muck,2020,30,2.5
Muck,2020,50,2.5
Muck,2020,40,2.5
Muck,2020,60,2.5
Muck,2020,80,2.8
Muck,2020,70,2.8
Silt,2020,80,13.4
Silt,2020,70,12.1
Silt,2020,60,11.2
Silt,2020,40,3.7
Silt,2020,30,2.8
Silt,2020,50,5
Sand,2020,20,2.4
Sand,2020,10,1.5
Sand,2020,5,0.8
Sand,2020,0.5,0.1
Silt,2020,80,4.6
Sand,2020,5,0.2
Silt,2020,70,4.2
Sand,2020,20,2
Sand,2020,10,1.2
Silt,2020,60,4.2
Sand,2020,0.5,0.2
Sand,2020,70,2
Sand,2020,60,2.4
Sand,2020,20,6.5
Silt,2020,50,5.8
Sand,2020,80,1.7
Sand,2020,10,1.5
Gravel,2020,0.5,0.1
Silt,2020,40,4.3
Silt,2020,30,3
Sand,2020,5,1.2
Sand,2020,50,2.4
Sand,2020,40,2.4
Sand,2020,30,2.1
Sand,2020,30,9.8
Sand,2020,20,1.7
Sand,2020,40,11.8
Sand,2020,10,1.4
Sand,2020,30,10.8
Sand,2020,5,0.8
Sand,2020,0.5,0.1
Silt,2020,60,12
Silt,2020,70,12
Silt,2020,80,11
Muck,2020,40,0.2
Sand,2020,30,1.5
Sand,2020,0,0.2
Sand,2020,0,0.2
Sand,2020,0,0.2
Sand,2020,0,0.2
Sand,2020,0,0.2
Sand,2020,0,0.2
Sand,2020,0.5,0.2
Muck,2020,5,0.4
Muck,2020,10,1
Sand,2020,20,1.5
