OBJECTID,BATHYP_COD,BATHY_POLY,AV_LEGEND,WB_NO,WBNAME,WBTOWN,LAKE_NO,BAY_NO,METHOD_COD,METHOD,DATADATE,DEPTH_FT,ACREAGE,Shape__Area,Shape__Length
1243,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.91900002,40033.9196777344,725.382409216725
1244,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,0.16099999,7012.35522460938,337.802363919538
1246,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,0.229,9984.50891113281,541.093850378405
1263,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,0.014,593.715270996094,89.2826722789715
1264,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,0.034,1463.75872802734,152.779032138066
1274,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,6.60599994,287741.83203125,2729.15525646078
1280,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.1,4358.73468017578,235.818223085497
1283,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,2.61999988,114145.45526123,1305.21529121668
1301,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,0.171,7460.73937988281,322.060725041867
1308,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.88200002,38415.2017211914,1047.34070883468
1309,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,0.11599999,5071.74652099609,258.90784391062
1319,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,0.101,4387.51507568359,242.941694339284
1330,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,0.91000002,39648.2565917969,720.293122153309
1335,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.42699998,18582.0420532227,498.934349105335
1339,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.662,28853.5023193359,643.471069950941
1350,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,1.27900004,55726.3159179688,1840.72311082387
1354,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,55,0.36399999,15846.2355957031,560.37025348579
1365,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,0.04699999,2061.94891357422,175.387580048377
1366,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,55,0.45899999,20002.8813476563,813.806101204272
1371,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,0.98699998,43007.8310546875,778.385988214958
1376,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,1.19700002,52126.8679199219,868.641047148212
1377,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,1.34000003,58366.1441650391,2706.37100891991
1378,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,1.72300004,75045.8653564453,1825.73026848543
1387,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,2.08999991,91020.6173706055,1154.79873694187
1390,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,0.38999998,16990.1354370117,476.434741821613
1394,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,2.35500001,102602.951599121,1983.65224450347
