Latitude,Longitude,ZebMsc
41.45505901,-73.46053763,1
41.47101435,-73.44413978,1
41.47548963,-73.4505914,1
41.4766571,-73.4538172,1
41.47938118,-73.45543011,1
41.48560766,-73.44924731,1
41.4955311,-73.46430108,1
41.50817863,-73.47102151,1
41.51343222,-73.45354839,1
41.5161563,-73.46833333,1
41.51498884,-73.47344086,1
41.520437,-73.4522043,1
41.53405742,-73.45139785,1
41.54164593,-73.45489247,1
41.54767783,-73.45489247,1
41.55195853,-73.47424731,1
